Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,IWH,IWD,IWA,WHH,WHD,WHA,Season,MatchDayOfWeek,MatchMonth,HomeElo,AwayElo,HomeTeamGoalsCurrentSeason,AwayTeamGoalsCurrentSeason,HomeTeamGoalsConcededCurrentSeason,AwayTeamGoalsConcededCurrentSeason,HomeWinRateHistorical,AwayWinRateHistorical,HomeWinRateSeason,AwayWinRateSeason,HeadToHeadMatches,HeadToHeadHomeWinRate,HeadToHeadAwayWinRate,HeadToHeadHomeGoals,HeadToHeadAwayGoals,HomeGoalsLast5Matches,AwayGoalsLast5Matches,HomeWinningStreakCurrentSeason,AwayWinningStreakCurrentSeason,HomeLosingStreakCurrentSeason,AwayLosingStreakCurrentSeason,OddsRatioHomeAwayB365,OddsRatioHomeAwayIWD,OddsRatioHomeAwayWH,HomeTeam_Ascoli,HomeTeam_Atalanta,HomeTeam_Bari,HomeTeam_Benevento,HomeTeam_Bologna,HomeTeam_Brescia,HomeTeam_Cagliari,HomeTeam_Carpi,HomeTeam_Catania,HomeTeam_Cesena,HomeTeam_Chievo,HomeTeam_Cremonese,HomeTeam_Crotone,HomeTeam_Empoli,HomeTeam_Fiorentina,HomeTeam_Frosinone,HomeTeam_Genoa,HomeTeam_Inter,HomeTeam_Juventus,HomeTeam_Lazio,HomeTeam_Lecce,HomeTeam_Livorno,HomeTeam_Messina,HomeTeam_Milan,HomeTeam_Monza,HomeTeam_Napoli,HomeTeam_Novara,HomeTeam_Palermo,HomeTeam_Parma,HomeTeam_Pescara,HomeTeam_Reggina,HomeTeam_Roma,HomeTeam_Salernitana,HomeTeam_Sampdoria,HomeTeam_Sassuolo,HomeTeam_Siena,HomeTeam_Spal,HomeTeam_Spezia,HomeTeam_Torino,HomeTeam_Treviso,HomeTeam_Udinese,HomeTeam_Venezia,HomeTeam_Verona,AwayTeam_Ascoli,AwayTeam_Atalanta,AwayTeam_Bari,AwayTeam_Benevento,AwayTeam_Bologna,AwayTeam_Brescia,AwayTeam_Cagliari,AwayTeam_Carpi,AwayTeam_Catania,AwayTeam_Cesena,AwayTeam_Chievo,AwayTeam_Cremonese,AwayTeam_Crotone,AwayTeam_Empoli,AwayTeam_Fiorentina,AwayTeam_Frosinone,AwayTeam_Genoa,AwayTeam_Inter,AwayTeam_Juventus,AwayTeam_Lazio,AwayTeam_Lecce,AwayTeam_Livorno,AwayTeam_Messina,AwayTeam_Milan,AwayTeam_Monza,AwayTeam_Napoli,AwayTeam_Novara,AwayTeam_Palermo,AwayTeam_Parma,AwayTeam_Pescara,AwayTeam_Reggina,AwayTeam_Roma,AwayTeam_Salernitana,AwayTeam_Sampdoria,AwayTeam_Sassuolo,AwayTeam_Siena,AwayTeam_Spal,AwayTeam_Spezia,AwayTeam_Torino,AwayTeam_Treviso,AwayTeam_Udinese,AwayTeam_Venezia,AwayTeam_Verona
2005-09-10,Milan,Siena,3,1,2,2,1,2,21,7,7,16,3,4,1,2,0,0,1.2,5.0,12.0,1.22,4.8,9.5,1.2,5.0,11.0,1,5,9,1497.1987000039423,1512.8012999960577,1,2,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0.09999999999999999,0.12842105263157894,0.10909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2005-09-10,Palermo,Inter,3,2,2,1,0,2,24,15,15,14,9,6,2,1,0,0,3.5,3.0,2.0,3.4,2.9,2.0,3.6,2.87,2.0,1,5,9,1497.1987000039423,1512.8012999960577,1,3,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,1.75,1.7,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-09-11,Treviso,Livorno,0,1,0,0,0,1,4,7,14,19,3,6,3,2,0,0,2.5,2.87,2.75,2.4,2.8,2.8,2.5,2.8,2.75,1,6,9,1487.1987000039423,1512.8012999960577,0,2,3,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,1,1,0,0.9090909090909091,0.8571428571428572,0.9090909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-09-11,Sampdoria,Reggina,3,2,2,1,1,1,16,11,22,24,5,5,1,3,0,1,1.53,3.5,5.5,1.55,3.3,5.2,1.5,3.4,6.0,1,6,9,1487.1987000039423,1492.8012999960577,1,0,2,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,1,1,0.2781818181818182,0.2980769230769231,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2005-09-11,Roma,Udinese,0,1,0,0,1,0,13,10,15,20,7,4,0,4,0,0,1.83,3.0,4.33,1.75,3.0,4.4,1.83,3.0,4.0,1,6,9,1507.1987000039423,1512.8012999960577,3,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,1,1,0,0,0.42263279445727486,0.3977272727272727,0.4575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2005-09-11,Messina,Fiorentina,2,2,1,0,2,0,8,12,19,20,7,7,3,3,0,0,2.5,2.87,2.75,2.4,2.8,2.8,2.6,2.8,2.6,1,6,9,1487.1987000039423,1512.8012999960577,0,2,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,1,1,0,0.9090909090909091,0.8571428571428572,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-09-11,Cagliari,Lazio,1,1,1,1,1,1,9,6,12,16,6,6,2,2,1,0,2.25,3.0,3.0,2.2,2.8,3.1,2.3,3.0,2.8,1,6,9,1487.1987000039423,1512.8012999960577,1,1,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,1,1,0,0.75,0.7096774193548387,0.8214285714285714,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-09-11,Empoli,Juventus,0,4,0,0,3,0,9,13,16,23,3,6,1,0,0,0,5.5,3.75,1.5,5.2,3.3,1.55,6.5,3.6,1.44,1,6,9,1487.1987000039423,1512.8012999960577,0,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,1,1,0,3.6666666666666665,3.3548387096774195,4.513888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-09-11,Chievo,Parma,1,0,2,1,0,2,12,5,16,15,9,2,1,1,0,0,2.2,2.87,3.2,2.1,2.8,3.4,2.15,2.8,3.3,1,6,9,1487.1987000039423,1502.8012999960577,0,1,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,1,0,0.6875,0.6176470588235294,0.6515151515151515,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-09-11,Lecce,Ascoli,0,0,1,0,0,1,9,6,18,9,9,2,2,3,0,1,1.72,3.2,4.5,1.8,2.9,4.2,1.72,3.2,4.33,1,6,9,1487.1987000039423,1502.8012999960577,1,1,2,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,1,0,0.38222222222222224,0.42857142857142855,0.3972286374133949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
